B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,M1,M2,M3,M4,M5,M6,M7,M8,B_mean,R_mean,M_mean,SMB_ENT,Q4_OrgSize
3.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,3.2777777777777777,3.5294117647058822,3.875,2,10000+
5.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.3333333333333335,2.588235294117647,2.625,1,<100
3.0,2.0,1.0,5.0,4.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,3.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2.9444444444444446,2.2941176470588234,4.5,2,5000-9999
2.0,2.0,1.0,5.0,2.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,2.9444444444444446,3.8823529411764706,3.0,1,<100
3.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.3333333333333335,2.9411764705882355,2.5,1,500-999
2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.611111111111111,2.7058823529411766,2.75,2,1000-4999
5.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.7222222222222223,2.4705882352941178,2.625,1,100-499
3.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,5.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,4.0,3.0,1.0,4.0,4.0,5.0,3.0,3.7222222222222223,4.117647058823529,3.25,2,5000-9999
2.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,2.7222222222222223,4.117647058823529,4.375,2,1000-4999
5.0,1.0,4.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.7777777777777777,4.764705882352941,4.875,2,10000+
4.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.9444444444444446,2.5294117647058822,2.125,1,<100
